CLASS,BRANCH_MISSED,BRANCH_COVERED,Total_Branch,Branch_covergae,LINE_MISSED,LINE_COVERED,Total_Line,Line_Coverage,COMPLEXITY_MISSED,COMPLEXITY_COVERED,Total_complexity
LutherStepInterpolator,1,7,8,0.875,0,50,50,1,1,8,9
EulerIntegrator,0,0,0,100,0,5,5,1,0,2,2
GillIntegrator,0,0,0,100,0,8,8,1,0,2,2
DormandPrince853Integrator,0,6,6,1,0,43,43,1,0,8,8
LutherIntegrator,0,0,0,100,0,6,6,1,0,2,2
GraggBulirschStoerStepInterpolator,15,43,58,0.74137931,9,127,136,0.933823529,14,25,39
HighamHall54StepInterpolator,1,7,8,0.875,0,41,41,1,1,7,8
MidpointIntegrator,0,0,0,100,0,5,5,1,0,2,2
DormandPrince54Integrator,0,4,4,1,0,16,16,1,0,7,7
AdamsIntegrator,0,0,0,100,0,10,10,1,0,5,5
GraggBulirschStoerIntegrator,22,212,234,0.905982906,7,305,312,0.977564103,22,109,131
MidpointStepInterpolator,1,7,8,0.875,0,24,24,1,1,7,8
AdamsBashforthIntegrator,3,31,34,0.911764706,4,74,78,0.948717949,3,17,20
DormandPrince54StepInterpolator,1,15,16,0.9375,0,62,62,1,1,13,14
EulerStepInterpolator,1,7,8,0.875,0,13,13,1,1,7,8
GillStepInterpolator,1,7,8,0.875,0,43,43,1,1,8,9
RealLinearOperator,0,0,0,100,2,1,3,0.333333333,2,1,3
FieldLUDecomposition.Solver,2,52,54,0.962962963,2,80,82,0.975609756,2,31,33
DefaultIterativeLinearSolverEvent,3,1,4,0.25,2,17,19,0.894736842,3,6,9
BlockRealMatrix,14,264,278,0.949640288,38,690,728,0.947802198,11,182,193
SymmLQ,2,8,10,0.8,13,48,61,0.786885246,7,10,17
LUDecomposition.Solver,0,38,38,1,0,55,55,1,0,24,24
RRQRDecomposition,2,18,20,0.9,1,47,48,0.979166667,2,15,17
RRQRDecomposition.Solver,0,0,0,100,1,7,8,0.875,1,4,5
DefaultFieldMatrixPreservingVisitor,0,0,0,100,1,5,6,0.833333333,1,3,4
RectangularCholeskyDecomposition,2,26,28,0.928571429,2,54,56,0.964285714,2,16,18
LUDecomposition,0,54,54,1,0,85,85,1,0,35,35
SymmLQ.State,9,51,60,0.85,7,171,178,0.960674157,9,35,44
Array2DRowRealMatrix,7,89,96,0.927083333,5,188,193,0.974093264,7,72,79
SingularValueDecomposition.new DefaultRealMatrixPreservingVisitor() {...},0,0,0,100,0,3,3,1,0,2,2
EigenDecomposition.Solver,2,36,38,0.947368421,2,63,65,0.969230769,2,23,25
SparseRealVector,0,0,0,100,0,1,1,1,0,1,1
SparseFieldVector,36,76,112,0.678571429,72,207,279,0.741935484,38,71,109
NonSymmetricMatrixException,0,0,0,100,3,5,8,0.625,3,1,4
NonSquareOperatorException,0,0,0,100,0,2,2,1,0,1,1
CholeskyDecomposition.Solver,0,28,28,1,2,46,48,0.958333333,2,17,19
OpenMapRealVector.OpenMapEntry,0,0,0,100,2,5,7,0.714285714,1,3,4
MatrixUtils.BigFractionMatrixConverter,0,0,0,100,0,7,7,1,0,4,4
RealVector.Entry,0,0,0,100,0,9,9,1,0,5,5
BiDiagonalTransformer,7,103,110,0.936363636,3,155,158,0.981012658,10,55,65
DefaultRealMatrixChangingVisitor,0,0,0,100,1,3,4,0.75,1,3,4
DiagonalMatrix,1,37,38,0.973684211,1,84,85,0.988235294,1,42,43
SingularValueDecomposition,13,171,184,0.929347826,4,274,278,0.985611511,14,92,106
DefaultFieldMatrixChangingVisitor,0,0,0,100,1,5,6,0.833333333,1,3,4
AbstractFieldMatrix.new DefaultFieldMatrixPreservingVisitor() {...},0,0,0,100,0,3,3,1,0,2,2
AbstractFieldMatrix.new DefaultFieldMatrixPreservingVisitor() {...},0,0,0,100,0,6,6,1,0,3,3
AbstractFieldMatrix.new DefaultFieldMatrixChangingVisitor() {...},0,0,0,100,0,2,2,1,0,2,2
IllConditionedOperatorException,0,0,0,100,2,0,2,0,1,0,1
SingularMatrixException,0,0,0,100,0,2,2,1,0,1,1
CholeskyDecomposition,0,22,22,1,0,45,45,1,0,17,17
SparseFieldMatrix,8,2,10,0.2,29,24,53,0.452830189,8,10,18
AbstractRealMatrix.new DefaultRealMatrixPreservingVisitor() {...},0,0,0,100,0,3,3,1,0,2,2
AbstractRealMatrix.new DefaultRealMatrixPreservingVisitor() {...},0,0,0,100,0,6,6,1,0,3,3
AbstractRealMatrix.new DefaultRealMatrixChangingVisitor() {...},0,0,0,100,0,2,2,1,0,2,2
SingularValueDecomposition.Solver,0,6,6,1,0,16,16,1,0,8,8
AbstractRealMatrix.new RealMatrixPreservingVisitor() {...},0,0,0,100,0,6,6,1,0,4,4
AbstractRealMatrix.new RealMatrixPreservingVisitor() {...},0,2,2,1,0,11,11,1,0,5,5
EigenDecomposition,18,146,164,0.890243902,24,281,305,0.921311475,18,85,103
